|Date received|Product|Sub-product|Issue|Sub-issue|Consumer complaint narrative|Company public response|Company|State|ZIP code|Tags|Consumer consent provided?|Submitted via|Date sent to company|Company response to consumer|Timely response?|Consumer disputed?|Complaint ID
0|01/20/25|Credit reporting or other personal consumer reports|Credit reporting|Incorrect information on your report|Information belongs to someone else|I am writing to have the following information removed from my credit file, the items that I need deleted are going to be attached in a word document. I am a victim of identity theft. I have multiple accounts and inquiries that I DID NOT apply for listed on my credit report. I ask that these items be deleted so my credit report will only show accurate information. I reported the theft of my identity to the Federal Trade Commission and have enclosed copies of the report. I would like these items deleted from my credit report as soon as possible. Please block this information from my credit report, pursuant to section 605B of the Fair Credit Reporting Act.|Company has responded to the consumer and the CFPB and chooses not to provide a public response|TRANSUNION INTERMEDIATE HOLDINGS, INC.|CA|92345||Consent provided|Web|01/20/25|Closed with non-monetary relief|Yes||11588109
1|07/03/24|Credit reporting or other personal consumer reports|Credit reporting|Improper use of your report|Reporting company used your report improperly|"I am a victim of identity theft. Please delete or remove these items on my behalf. 
These items are not mine and this is greatly affecting me and my personal life. I request that you block the following information and please let me know if you need any other information from me to block this information from my credit report. Thank you. 



XXXX XXXX Account Number : XXXX"|Company has responded to the consumer and the CFPB and chooses not to provide a public response|Experian Information Solutions Inc.|FL|32824||Consent provided|Web|07/03/24|Closed with non-monetary relief|Yes||9416677
2|09/14/25|Vehicle loan or lease|Loan|Incorrect information on your report|Information belongs to someone else|My name is XXXX XXXX, and I am formally disputing a fraudulent auto loan that Santander XXXX  USA allowed to be opened in my name without my authorization. I did not apply for, sign, or consent to any loan through your institution, and I believe this incident is linked to identity theft following the XXXX XXXX  data breach. Under the Fair Credit Reporting Act ( 15 U.S.C. 1681c-2 ), I have the right to block fraudulent information from my credit reports, and under the Identity Theft and Assumption Deterrence Act ( 18 U.S.C. 1028 ), knowingly maintaining a fraudulent account is a federal offense. If Santander does not immediately investigate, close the account, and remove all related information from my credit file, I will pursue legal action, including complaints with the FTC, CFPB, and a civil lawsuit to recover damages.||SANTANDER HOLDINGS USA, INC.|PA|19143||Consent provided|Web|09/14/25|Closed with explanation|Yes||15930829
3|05/01/25|Credit reporting or other personal consumer reports|Credit reporting|Incorrect information on your report|Information belongs to someone else|Upon reviewing my credit report, I have identified inaccurate accounts that need reporting and correction through your company.|Company has responded to the consumer and the CFPB and chooses not to provide a public response|TRANSUNION INTERMEDIATE HOLDINGS, INC.|TX|76105||Consent provided|Web|05/01/25|Closed with non-monetary relief|Yes||13274568
4|12/08/25|Credit reporting or other personal consumer reports|Credit reporting|Incorrect information on your report|Account information incorrect|Everything is explained in my resolution package ive already tried to resolve these accounts I got nowhere.|Company believes it acted appropriately as authorized by contract or law|Kubota North America Corporation|MS|391XX||Consent provided|Web|12/08/25|Closed with explanation|Yes||17837761
5|03/06/24|Credit reporting or other personal consumer reports|Credit reporting|Problem with a company's investigation into an existing problem|Investigation took more than 30 days|I have already sent a letter addressing the inaccuracies and unknown items on my credit report, but unfortunately, I have not received any response even after 30 days. It feels like I'm being taken advantage of and my disputes are being ignored. According to Section 611 ( a ), if these items are not investigated within 30 days, they should be promptly removed from my credit report. Since it has been over 30 days, I expect these accounts to be updated immediately. If not, I will have no choice but to pursue legal action due to the stress this situation has caused me. Additionally, my information was also affected by the Equifax, XXXX, and XXXX data breach, which raises concerns about the security of my personal data.||EQUIFAX, INC.|CA|90806||Consent provided|Web|03/06/24|Closed with non-monetary relief|Yes||8488899
6|05/08/25|Credit reporting or other personal consumer reports|Credit reporting|Problem with a company's investigation into an existing problem|Was not notified of investigation status or results|"I reviewed my credit report and noticed several inaccuracies. I sent a letter to EQUIFAX in XXXX to dispute these items. However, it has been more than XXXX  days, and I have not received a response from the credit bureau. This delay is a violation of XXXX U.S.C. XXXX ( a ) ( XXXX ) ( A ), which requires a response within XXXX days. 

Under XXXX U.S.C. XXXX ( a ) ( XXXX ) ( A ), if a consumer disputes the accuracy or completeness of any information in their file, the credit reporting agency must, at no cost, conduct a reasonable investigation, verify the disputed information, and update the file or remove inaccurate items within XXXX  days of receiving the notice of dispute."||EQUIFAX, INC.|MA|02132||Consent provided|Web|05/08/25|Closed with non-monetary relief|Yes||13407502
7|01/20/23|Credit card or prepaid card|General-purpose credit card or charge card|Problem with a purchase shown on your statement|Card was charged for something you did not purchase with the card|On XX/XX/XXXX, somehow my Cashapp account was compromised. Information was changed and different banking information was uploaded to my account. Not sure how, since my personal information is necessary to update anything. I informed Cashapp of two fraudelent transactions, one of XXXX, and one of XXXX, made from a NJ location, I live in GA. After some investigation, Cashapp did refund the funds from one of the fraudelent transactions, but denied the other, larger amount. These transactions were both reported as fraud, both done at the same time, and by the same source located in NJ, as per the information on Casapp, so why would only one transaction be returned, and not the other? My XXXX account was also compromised, with fraudelent charges made using my Cashapp card information, and once informed, and after XXXX investigated, and noticed suspicious activity, XXXX refunded the funds. I have had my Cashapp account for years, and have not encountered any issues like this before. I would have expected some integrity in the handling of this matter. I do not believe I am getting that from Cashapp. I have since removed Cashapp. I currently keep the app for updates on my dispute, and once refunded, to cash out the funds, and completely close it out. I would not be using the app anymore once this matter is resolved.||Block, Inc.|GA|30238||Consent provided|Web|01/20/23|Closed with explanation|Yes||6456349
8|12/02/25|Checking or savings account|Other banking product or service|Problem with a lender or other company charging your account|Transaction was not authorized|"I am filing this second CFPB complaint because Relay Financial and their partner bank have failed to follow required Regulation E timelines and have not provided any clear updates regarding my unauthorized transaction dispute. 

My dispute involves multiple duplicate unauthorized charges from XXXX XXXX XXXX XXXX totaling {$1400.00}. I originally raised this dispute in mid-summer ( between XXXX ). Despite providing all requested documentation, including fax confirmations showing successful delivery, Relay continues to delay the investigation. 

Relay has repeatedly told me the dispute was escalated to the banking partner and XXXX, but I have received no timeline, no decision, and no confirmation from XXXX. Under Regulation E and XXXX Operating Rules, a provisional credit eligibility review must occur within XXXX business days, but it has now been several months. 

I also notified Relay that I am experiencing financial hardship, meaning this should be handled with priority. Despite this, Relay has not communicated any concrete status, and support agents repeatedly tell me they can not access the dispute system. I have asked for escalation to compliance multiple times with no clear response. 

The lack of updates, the prolonged delay, and the failure to follow Regulation E timelines have caused significant financial harm. I am requesting CFPB assistance to compel Relay and their partner bank to : XXXX. Provide the exact date the dispute was submitted to XXXX XXXX. Provide the current status of the XXXX investigation XXXX. Explain why the XXXX provisional credit requirement was not followed XXXX. Acknowledge my financial hardship status XXXX. Provide a timeline for resolution XXXX. Ensure compliance oversight moving forward I am requesting immediate CFPB intervention."||Relay Financial (US), Corp.|FL|33617||Consent provided|Web|12/02/25|Closed with explanation|Yes||18085605
9|11/25/23|Credit reporting or other personal consumer reports|Credit reporting|Improper use of your report|Credit inquiries on your report that you don't recognize|wallet was stolen that had my id and ssn card along with bank cards. my life was altered when they began to use what they could. THERES ALOT OF INQUIRES I DIDNT GIVE PERMISSION TO DO.|Company has responded to the consumer and the CFPB and chooses not to provide a public response|TRANSUNION INTERMEDIATE HOLDINGS, INC.|CA|90047||Consent provided|Web|11/25/23|Closed with non-monetary relief|Yes||7902247
